,Environment,Age,Sex,Noise,1,Group
s93,0.444,0.386,0.46,0.695,1.0,0
s94,0.344,0.325,0.573,0.571,1.0,0
s95,0.459,0.453,0.387,0.641,1.0,0
s96,0.595,0.56,0.455,0.502,1.0,0
s97,0.281,0.58,0.655,0.857,1.0,0
s98,0.765,0.36,0.327,0.525,1.0,0
s99,0.402,0.39,0.269,0.58,1.0,0
s100,0.424,0.697,0.386,0.877,1.0,1
s101,0.039,0.422,0.747,0.23,1.0,1
s102,0.563,0.214,0.183,0.246,1.0,1
s103,0.826,0.678,0.337,0.694,1.0,1
s104,0.758,0.421,0.519,0.265,1.0,1
s105,0.134,0.595,0.563,0.889,1.0,1
s106,0.198,0.36,0.862,0.417,1.0,1
s107,0.38,0.477,0.428,0.351,1.0,1
s108,0.494,0.501,0.405,0.885,1.0,1
s109,0.356,0.383,0.713,0.796,1.0,1
s110,0.564,0.316,0.169,0.874,1.0,1
s111,0.682,0.336,0.818,0.681,1.0,1
s112,0.371,0.554,0.277,0.328,1.0,1
s113,0.499,0.576,0.293,0.882,1.0,1
s114,0.542,0.451,0.564,0.446,1.0,1
s115,0.386,1.0,0.284,0.66,1.0,1
s116,0.528,0.852,0.443,0.689,1.0,1
s117,0.578,0.476,0.627,0.469,1.0,1
s118,0.732,0.628,0.855,0.623,1.0,1
s119,0.401,0.796,0.642,0.684,1.0,1
s120,0.0,0.738,0.716,0.575,1.0,1
s121,0.435,0.334,0.478,0.28,1.0,1
s122,0.413,0.575,0.848,0.56,1.0,1
s123,0.432,0.453,0.301,0.765,1.0,1
s124,0.443,0.187,0.615,0.361,1.0,1
s125,0.161,0.584,0.224,0.47,1.0,1
s126,0.432,0.743,0.786,0.413,1.0,1
s127,0.388,0.129,0.196,0.87,1.0,1
s128,0.614,0.194,0.803,0.634,1.0,1
s129,0.372,0.595,0.748,0.581,1.0,1
s130,0.358,0.813,0.435,0.346,1.0,1
s131,0.521,0.664,0.627,0.608,1.0,1
s132,0.382,0.497,0.626,0.365,1.0,1
s133,0.537,0.228,0.552,0.506,1.0,1
s134,0.36,0.948,0.669,0.373,1.0,1
s135,0.49,0.283,0.422,0.635,1.0,1
s136,1.0,0.522,0.763,0.615,1.0,1
s137,0.239,0.377,0.123,0.458,1.0,1
s138,0.179,0.275,0.736,0.579,1.0,1
s139,1.0,0.419,0.505,0.281,1.0,1
s140,0.52,0.631,0.673,0.202,1.0,1
s141,0.586,0.565,0.482,0.588,1.0,1
s142,0.728,0.997,0.474,0.533,1.0,1
s143,0.219,0.28,0.657,0.627,1.0,1
s144,0.633,0.28,0.597,0.977,1.0,1
s145,0.695,0.532,0.524,0.689,1.0,1
s146,0.692,0.574,0.544,0.317,1.0,1
s147,0.737,0.337,0.438,0.723,1.0,1
s148,0.188,0.495,0.493,0.237,1.0,1
s149,0.386,0.514,0.727,0.408,1.0,1
s150,0.709,0.097,0.391,0.486,1.0,1
s151,0.653,0.624,0.48,0.843,1.0,1
s152,0.742,0.677,0.327,0.351,1.0,1
s153,0.744,0.707,0.488,0.335,1.0,1
s154,0.593,0.601,0.337,0.48,1.0,1
s155,0.611,0.702,0.344,0.367,1.0,1
s156,0.537,0.232,0.491,0.725,1.0,1
s157,0.481,0.326,0.67,0.284,1.0,1
s158,0.549,0.799,0.208,0.271,1.0,1
s159,0.284,0.882,0.506,0.412,1.0,1
s160,0.338,0.402,0.232,0.4,1.0,1
s161,0.904,0.489,0.753,0.886,1.0,1
s162,0.45,0.641,0.612,0.69,1.0,1
s163,0.213,0.591,0.596,0.518,1.0,1
s164,0.815,0.506,0.537,0.255,1.0,1
s165,0.52,0.265,0.178,0.669,1.0,1
s166,0.636,0.167,0.413,0.3,1.0,1
s167,0.591,0.412,0.15,0.191,1.0,1
s168,0.298,0.282,0.496,0.738,1.0,1
s169,0.774,0.64,0.479,0.563,1.0,1
s170,0.143,0.482,0.61,0.684,1.0,1
s171,0.515,0.678,0.472,0.564,1.0,1
s172,0.577,0.346,0.524,0.671,1.0,1
s173,0.505,0.291,0.627,0.37,1.0,1
s174,0.711,0.257,0.553,0.293,1.0,1
s175,0.183,0.484,0.22,0.636,1.0,1
s176,0.455,0.992,0.061,0.339,1.0,1
s177,0.532,0.436,0.183,0.362,1.0,1
s178,0.681,0.239,0.371,0.409,1.0,1
s179,0.802,0.315,0.519,0.503,1.0,1
s180,0.372,0.648,0.613,0.429,1.0,1
s181,0.868,0.402,0.752,0.225,1.0,1
s182,0.851,0.231,0.224,0.371,1.0,1
s183,0.475,0.351,0.203,0.055,1.0,1
s184,0.332,0.204,0.637,0.625,1.0,1
s185,0.582,0.507,0.105,0.18,1.0,1
s186,0.483,0.546,0.569,0.279,1.0,1
s187,0.841,0.755,0.0,0.51,1.0,1
s188,0.648,0.629,0.738,0.352,1.0,1
s189,0.593,0.802,0.59,0.809,1.0,1
s190,0.559,0.711,0.915,0.241,1.0,1
s191,0.939,0.46,0.775,0.553,1.0,1
s192,0.272,0.48,0.504,0.492,1.0,1
s193,0.36,0.447,0.435,0.266,1.0,1
s194,0.547,0.508,0.367,0.605,1.0,1
s195,0.365,0.552,0.22,0.466,1.0,1
s196,0.23,0.575,0.564,0.654,1.0,1
s197,0.564,0.423,0.815,0.665,1.0,1
s198,0.5,0.81,0.55,0.933,1.0,1
s199,0.522,0.605,0.43,0.767,1.0,1
