	Environment	Age	Sex	Noise	1	Group	distance	weights
s134	0.287	0.706	0.233	0.373	1.0	1	0.5940701309335109	1.0
s135	0.617	1.0	0.404	0.635	1.0	1	0.4603742824784302	1.0
s136	0.666	0.277	0.433	0.615	1.0	1	0.5161168111575815	1.0
s137	0.444	0.964	0.688	0.458	1.0	1	0.4187579034485672	1.0
s138	0.425	0.637	0.197	0.579	1.0	1	0.5862562479394516	0.0
s139	0.232	0.659	0.403	0.281	1.0	1	0.563411416397874	1.0
s140	0.389	0.105	0.718	0.202	1.0	1	0.5058659427623979	1.0
s141	0.44	0.856	0.471	0.588	1.0	1	0.48831791673714997	1.0
s142	0.419	0.624	0.057	0.533	1.0	1	0.6247169599806387	0.0
s143	0.609	0.377	0.277	0.627	1.0	1	0.5582809050511556	1.0
s144	0.391	0.476	0.453	0.977	1.0	1	0.5399736641746524	1.0
s145	0.637	0.681	0.823	0.689	1.0	1	0.3777795851998618	0.0
s146	0.585	0.707	0.685	0.317	1.0	1	0.42001957481443114	1.0
s147	0.283	0.483	0.419	0.723	1.0	1	0.5675067713042936	1.0
s148	0.28	0.863	0.279	0.237	1.0	1	0.5678496347035216	1.0
s149	0.528	0.4	0.584	0.408	1.0	1	0.4876583601403946	1.0
s150	0.908	0.746	0.386	0.486	1.0	1	0.4387661972442842	1.0
s151	0.653	0.665	0.481	0.843	1.0	1	0.46661991460828134	1.0
s152	0.125	0.614	0.834	0.351	1.0	1	0.4708058751635565	1.0
s153	0.336	1.0	0.024	0.335	1.0	1	0.6116185677339543	0.0
s154	0.923	0.412	0.757	0.48	1.0	1	0.3717434991230294	1.0
s155	0.656	0.86	0.643	0.367	1.0	1	0.40384617362934866	0.0
s156	0.318	0.654	0.874	0.725	1.0	1	0.4219808590446715	1.0
s157	0.238	0.046	0.699	0.284	1.0	1	0.5438781161352517	1.0
s158	0.503	0.48	0.644	0.271	1.0	1	0.46792095135729866	1.0
s159	0.424	0.403	0.283	0.412	1.0	1	0.5865980567382745	0.0
s160	0.504	0.248	0.476	0.4	1.0	1	0.5363645195954706	1.0
s161	0.67	0.674	0.371	0.886	1.0	1	0.4923986735950375	1.0
s162	0.156	0.327	0.551	0.69	1.0	1	0.5701250423065827	1.0
s163	0.688	0.815	0.387	0.518	1.0	1	0.47074135027219643	1.0
s164	0.792	0.545	0.647	0.255	1.0	1	0.40974377109390503	1.0
s165	0.308	0.518	0.289	0.669	1.0	1	0.5939921852064165	1.0
s166	0.304	0.609	0.603	0.3	1.0	1	0.5017187828525798	1.0
s167	0.827	0.368	0.644	0.191	1.0	1	0.42167270223747577	1.0
s168	0.62	0.247	0.383	0.738	1.0	1	0.5408193228117046	1.0
s169	0.645	0.738	0.62	0.563	1.0	1	0.42366138533673003	1.0
s170	0.492	0.435	0.379	0.684	1.0	1	0.5459652271513433	1.0
s171	0.329	0.237	0.392	0.564	1.0	1	0.5906283301068301	1.0
s172	0.514	0.709	0.461	0.671	1.0	1	0.4924918305521361	1.0
s173	0.373	0.439	0.494	0.37	1.0	1	0.5358339205516037	1.0
s174	0.439	0.438	0.532	0.293	1.0	1	0.5138742681342409	1.0
s175	0.625	0.53	0.732	0.636	1.0	1	0.4179231963942645	1.0
s176	0.402	0.236	0.404	0.339	1.0	1	0.574840159307037	1.0
s177	0.461	0.426	0.487	0.362	1.0	1	0.5233016272255424	1.0
s178	0.416	0.248	0.136	0.409	1.0	1	0.6403702067438899	1.0
s179	0.743	0.595	0.442	0.503	1.0	1	0.46805386182072495	1.0
s180	0.561	0.594	0.606	0.429	1.0	1	0.4564510291784536	1.0
s181	0.387	0.421	0.535	0.225	1.0	1	0.5240724844447731	0.0
s182	0.613	0.025	0.245	0.371	1.0	1	0.6003904600076586	1.0
s183	0.442	0.282	0.662	0.055	1.0	1	0.49378464545776257	1.0
s184	0.37	0.549	0.27	0.625	1.0	1	0.585206131492279	0.0
s185	0.59	0.444	0.636	0.18	1.0	1	0.4581532317080134	1.0
s186	0.762	0.929	0.712	0.279	1.0	1	0.3617335239314731	0.0
s187	0.283	0.264	0.414	0.51	1.0	1	0.5902262130249002	1.0
s188	0.599	0.477	0.596	0.352	1.0	1	0.46402463048565484	1.0
s189	0.413	0.552	0.73	0.809	1.0	1	0.45364670099612486	1.0
s190	0.708	0.256	0.522	0.241	1.0	1	0.48660890541732776	1.0
s191	0.119	0.757	0.89	0.553	1.0	1	0.44261010234934944	1.0
s192	0.613	0.405	0.493	0.492	1.0	1	0.49655170553221234	1.0
s193	0.778	0.448	0.651	0.266	1.0	1	0.4205712952833543	1.0
s194	0.439	0.674	0.685	0.605	1.0	1	0.4489843374171244	1.0
s195	0.612	0.327	0.2	0.466	1.0	1	0.5830871383750411	0.0
s196	0.57	0.33	0.518	0.654	1.0	1	0.5050092292337715	1.0
s197	0.182	0.118	0.723	0.665	1.0	1	0.5402293022441198	1.0
s198	0.425	0.274	0.135	0.933	1.0	1	0.6367248243803488	0.0
s199	0.548	0.425	0.618	0.767	1.0	1	0.4723891414758123	1.0
