	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
87	cirrhosis	s2s	69	54_1	301	5	1.0	0.8240740740740741
88	cirrhosis	self	54_1	54_1	301	7	0.0	0.7589285714285714
89	cirrhosis	self	69	69	301	7	0.0	0.924578527062999
90	cirrhosis	s2s	54_1	69	301	7	0.0	0.8357580944230496
91	cirrhosis	s2s	69	54_1	301	7	0.0	0.7762345679012345
92	cirrhosis	self	54_1	54_1	301	7	0.1	0.6785714285714286
93	cirrhosis	self	69	69	301	7	0.1	0.9307897071872224
94	cirrhosis	s2s	54_1	69	301	7	0.1	0.8592212237911853
95	cirrhosis	s2s	69	54_1	301	7	0.1	0.7916666666666666
96	cirrhosis	self	54_1	54_1	301	7	0.2	0.7232142857142857
97	cirrhosis	self	69	69	301	7	0.2	0.9256876663708964
98	cirrhosis	s2s	54_1	69	301	7	0.2	0.8902795606903438
99	cirrhosis	s2s	69	54_1	301	7	0.2	0.8179012345679012
100	cirrhosis	self	54_1	54_1	301	7	0.3	0.6607142857142857
101	cirrhosis	self	69	69	301	7	0.3	0.9330079858030168
102	cirrhosis	s2s	54_1	69	301	7	0.3	0.8801882755669662
103	cirrhosis	s2s	69	54_1	301	7	0.3	0.7824074074074074
104	cirrhosis	self	54_1	54_1	301	7	0.4	0.5982142857142857
105	cirrhosis	self	69	69	301	7	0.4	0.9370008873114464
106	cirrhosis	s2s	54_1	69	301	7	0.4	0.8963414634146343
107	cirrhosis	s2s	69	54_1	301	7	0.4	0.8179012345679012
108	cirrhosis	self	54_1	54_1	301	7	0.5	0.5714285714285714
109	cirrhosis	self	69	69	301	7	0.5	0.9276841171251108
110	cirrhosis	s2s	54_1	69	301	7	0.5	0.90265297389816
111	cirrhosis	s2s	69	54_1	301	7	0.5	0.7808641975308641
112	cirrhosis	self	54_1	54_1	301	7	0.6	0.5982142857142858
113	cirrhosis	self	69	69	301	7	0.6	0.9356699201419698
114	cirrhosis	s2s	54_1	69	301	7	0.6	0.90375837968906
115	cirrhosis	s2s	69	54_1	301	7	0.6	0.7978395061728394
116	cirrhosis	self	54_1	54_1	301	7	0.7	0.5446428571428572
117	cirrhosis	self	69	69	301	7	0.7	0.9341171251109142
118	cirrhosis	s2s	54_1	69	301	7	0.7	0.9065397232919701
119	cirrhosis	s2s	69	54_1	301	7	0.7	0.7731481481481481
120	cirrhosis	self	54_1	54_1	301	7	0.8	0.6071428571428571
121	cirrhosis	self	69	69	301	7	0.8	0.9290150842945876
122	cirrhosis	s2s	54_1	69	301	7	0.8	0.8878191413493083
123	cirrhosis	s2s	69	54_1	301	7	0.8	0.7731481481481481
124	cirrhosis	self	54_1	54_1	301	7	0.9	0.5357142857142857
125	cirrhosis	self	69	69	301	7	0.9	0.934782608695652
126	cirrhosis	s2s	54_1	69	301	7	0.9	0.8907431179574954
127	cirrhosis	s2s	69	54_1	301	7	0.9	0.8487654320987654
128	cirrhosis	self	54_1	54_1	301	7	1.0	0.5
129	cirrhosis	self	69	69	301	7	1.0	0.921916592724046
130	cirrhosis	s2s	54_1	69	301	7	1.0	0.9115318784766796
131	cirrhosis	s2s	69	54_1	301	7	1.0	0.7669753086419753
132	cirrhosis	self	54_1	54_1	301	9	0.0	0.7321428571428571
133	cirrhosis	self	69	69	301	9	0.0	0.9172582076308784
134	cirrhosis	s2s	54_1	69	301	9	0.0	0.8241691627442591
135	cirrhosis	s2s	69	54_1	301	9	0.0	0.8009259259259259
136	cirrhosis	self	54_1	54_1	301	9	0.1	0.7321428571428571
137	cirrhosis	self	69	69	301	9	0.1	0.9241348713398404
138	cirrhosis	s2s	54_1	69	301	9	0.1	0.8528383968050207
139	cirrhosis	s2s	69	54_1	301	9	0.1	0.7993827160493827
140	cirrhosis	self	54_1	54_1	301	9	0.2	0.7321428571428571
141	cirrhosis	self	69	69	301	9	0.2	0.9148181011535048
142	cirrhosis	s2s	54_1	69	301	9	0.2	0.8498787619455141
143	cirrhosis	s2s	69	54_1	301	9	0.2	0.8333333333333334
144	cirrhosis	self	54_1	54_1	301	9	0.3	0.6875
145	cirrhosis	self	69	69	301	9	0.3	0.9265749778172138
146	cirrhosis	s2s	54_1	69	301	9	0.3	0.8598274140636143
147	cirrhosis	s2s	69	54_1	301	9	0.3	0.8055555555555556
148	cirrhosis	self	54_1	54_1	301	9	0.4	0.7142857142857142
149	cirrhosis	self	69	69	301	9	0.4	0.928793256433008
150	cirrhosis	s2s	54_1	69	301	9	0.4	0.8862145200399372
151	cirrhosis	s2s	69	54_1	301	9	0.4	0.8040123456790124
152	cirrhosis	self	54_1	54_1	301	9	0.5	0.7053571428571428
153	cirrhosis	self	69	69	301	9	0.5	0.9243566992014196
154	cirrhosis	s2s	54_1	69	301	9	0.5	0.8647125944943659
155	cirrhosis	s2s	69	54_1	301	9	0.5	0.8009259259259259
156	cirrhosis	self	54_1	54_1	301	9	0.6	0.625
157	cirrhosis	self	69	69	301	9	0.6	0.9199201419698312
158	cirrhosis	s2s	54_1	69	301	9	0.6	0.8789045785194695
159	cirrhosis	s2s	69	54_1	301	9	0.6	0.8055555555555556
160	cirrhosis	self	54_1	54_1	301	9	0.7	0.5178571428571429
161	cirrhosis	self	69	69	301	9	0.7	0.9243566992014196
162	cirrhosis	s2s	54_1	69	301	9	0.7	0.9012266438453861
163	cirrhosis	s2s	69	54_1	301	9	0.7	0.7731481481481481
164	cirrhosis	self	54_1	54_1	301	9	0.8	0.5267857142857143
165	cirrhosis	self	69	69	301	9	0.8	0.9365572315882874
166	cirrhosis	s2s	54_1	69	301	9	0.8	0.9041506204535732
167	cirrhosis	s2s	69	54_1	301	9	0.8	0.7947530864197531
168	cirrhosis	self	54_1	54_1	301	9	0.9	0.5357142857142857
169	cirrhosis	self	69	69	301	9	0.9	0.9343389529724934
170	cirrhosis	s2s	54_1	69	301	9	0.9	0.9022963913849664
171	cirrhosis	s2s	69	54_1	301	9	0.9	0.7546296296296295
172	cirrhosis	self	54_1	54_1	301	9	1.0	0.5178571428571428
173	cirrhosis	self	69	69	301	9	1.0	0.9412156166814551
174	cirrhosis	s2s	54_1	69	301	9	1.0	0.9056126087576666
175	cirrhosis	s2s	69	54_1	301	9	1.0	0.7993827160493827
176	cirrhosis	self	54_1	54_1	301	11	0.0	0.7857142857142857
177	cirrhosis	self	69	69	301	11	0.0	0.9161490683229812
178	cirrhosis	s2s	54_1	69	301	11	0.0	0.8458493795464271
179	cirrhosis	s2s	69	54_1	301	11	0.0	0.7700617283950617
180	cirrhosis	self	54_1	54_1	301	11	0.1	0.7857142857142857
181	cirrhosis	self	69	69	301	11	0.1	0.918145519077196
182	cirrhosis	s2s	54_1	69	301	11	0.1	0.8634288974468692
183	cirrhosis	s2s	69	54_1	301	11	0.1	0.7793209876543209
184	cirrhosis	self	54_1	54_1	301	11	0.2	0.7589285714285714
185	cirrhosis	self	69	69	301	11	0.2	0.9190328305235136
186	cirrhosis	s2s	54_1	69	301	11	0.2	0.8816146056197404
187	cirrhosis	s2s	69	54_1	301	11	0.2	0.7716049382716048
188	cirrhosis	self	54_1	54_1	301	11	0.3	0.6875
189	cirrhosis	self	69	69	301	11	0.3	0.9183673469387756
190	cirrhosis	s2s	54_1	69	301	11	0.3	0.8826130366566823
191	cirrhosis	s2s	69	54_1	301	11	0.3	0.7438271604938271
192	cirrhosis	self	54_1	54_1	301	11	0.4	0.6339285714285714
193	cirrhosis	self	69	69	301	11	0.4	0.9165927240461402
194	cirrhosis	s2s	54_1	69	301	11	0.4	0.8629653401797177
195	cirrhosis	s2s	69	54_1	301	11	0.4	0.7608024691358025
196	cirrhosis	self	54_1	54_1	301	11	0.5	0.5714285714285714
197	cirrhosis	self	69	69	301	11	0.5	0.9236912156166814
198	cirrhosis	s2s	54_1	69	301	11	0.5	0.9106047639423764
199	cirrhosis	s2s	69	54_1	301	11	0.5	0.7469135802469136
200	cirrhosis	self	54_1	54_1	301	11	0.6	0.5625
201	cirrhosis	self	69	69	301	11	0.6	0.9296805678793256
202	cirrhosis	s2s	54_1	69	301	11	0.6	0.8841463414634146
203	cirrhosis	s2s	69	54_1	301	11	0.6	0.7623456790123457
204	cirrhosis	self	54_1	54_1	301	11	0.7	0.5446428571428572
205	cirrhosis	self	69	69	301	11	0.7	0.9316770186335404
206	cirrhosis	s2s	54_1	69	301	11	0.7	0.9027599486521182
207	cirrhosis	s2s	69	54_1	301	11	0.7	0.8209876543209876
208	cirrhosis	self	54_1	54_1	301	11	0.8	0.4553571428571428
209	cirrhosis	self	69	69	301	11	0.8	0.9307897071872226
210	cirrhosis	s2s	54_1	69	301	11	0.8	0.887391242333476
211	cirrhosis	s2s	69	54_1	301	11	0.8	0.7391975308641975
212	cirrhosis	self	54_1	54_1	301	11	0.9	0.4285714285714286
213	cirrhosis	self	69	69	301	11	0.9	0.9299023957409048
214	cirrhosis	s2s	54_1	69	301	11	0.9	0.9073955213236342
215	cirrhosis	s2s	69	54_1	301	11	0.9	0.7762345679012345
216	cirrhosis	self	54_1	54_1	301	11	1.0	0.4107142857142856
217	cirrhosis	self	69	69	301	11	1.0	0.9409937888198758
218	cirrhosis	s2s	54_1	69	301	11	1.0	0.8966980459278278
219	cirrhosis	s2s	69	54_1	301	11	1.0	0.7530864197530864
