,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I,5,9.252206e-05,403,0.00016667667651364763,0.7790501017319336,1.8014803876356367,0.03229381737382101,0.08517050735952794,164,9.49061573170733e-05,164,0.00022149708231707308,2.8870089547851565,2.333853656903107,3.0916546035301043e-51,4.787078095788548e-50
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,5,8.97472e-05,403,0.00020244734034739468,0.9920578564073007,2.255751046800287,0.021700551085379265,0.06763808130507822,164,7.018160975609743e-05,164,0.000272198524390244,3.514640892090913,3.878487902118762,3.0916546035301043e-51,4.787078095788548e-50
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,5,0.0001277298,403,0.0002569008890818858,1.0280521133939482,2.0112838905399193,0.012108285412993377,0.04896142992188201,164,0.00014358384756097547,164,0.0003060021981707317,2.5916338598457256,2.1311742467465384,3.0099733577283033e-51,4.787078095788548e-50
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic),5,2.312858e-05,403,5.077819219851116e-05,0.6079111117337254,2.1954738336080797,0.13662934939599036,0.23590679032401213,164,7.036031097560978e-06,164,7.321394085365852e-05,2.3061586415137914,10.40557380126389,3.252501544885986e-51,4.878752317328979e-50
PWY-5104: L-isoleucine biosynthesis IV,5,9.811145999999999e-05,403,0.00027534840183622843,1.2168279865151828,2.8064856219266177,0.002740029883758592,0.02827068357674627,164,0.00010018622439024386,164,0.0002745120228048779,2.8952226158023184,2.740017646893278,3.741519515223349e-51,5.031932121082196e-50
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,5,0.00010106480000000001,403,0.0002939606175434244,1.2812939761001287,2.9086350296386514,0.0016212744684878547,0.026388263853266865,164,0.00012594445121951256,164,0.00025668477073170743,2.65985455288025,2.038079234505722,3.7739490908116463e-51,5.031932121082196e-50
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),5,0.0001066675,403,0.0002831196848635237,1.1998631712707604,2.6542263094524925,0.0026217162535247572,0.028151540136384313,164,0.00014111097560975578,164,0.00028989886585365865,1.7563720217478977,2.0544033842936336,3.7739490908116463e-51,5.031932121082196e-50
PWY-6737: starch degradation V,5,0.00012247948,403,0.0003060305075930521,1.3983231232959088,2.4986267707296936,0.002034095338689321,0.026388263853266865,164,0.00019601616463414654,164,0.00032485123780487803,1.8407670496814488,1.6572675953087599,3.7061753139244104e-51,5.031932121082196e-50
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),5,9.509819999999999e-05,403,0.00025003645387096786,1.465261688654923,2.629244863425048,0.0030611546396673746,0.02881086719686941,164,9.754543902439038e-05,164,0.00026739044085365854,3.2915421471311337,2.7411885530270657,4.775847623612757e-51,6.195694214416549e-50
PWY-6527: stachyose degradation,5,9.884356e-05,403,0.00023346190588089327,1.0943063217395477,2.361933401436505,0.005213715921423177,0.03388965890891028,164,8.682206585365848e-05,164,0.0002338949292682925,2.876163195839527,2.6939571981911867,5.827621586778886e-51,7.22946404933668e-50
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",5,6.684852e-05,403,6.589473801488837e-05,0.014702850719677524,0.9857321899555647,0.8936837429355178,0.9358410086453632,164,0.00011182752134146357,164,2.4515642560975607e-05,3.3589550116152096,0.2192272730978046,5.873939540086052e-51,7.22946404933668e-50
PWY-5971: palmitate biosynthesis II (bacteria and plants),5,6.479e-05,403,0.0002952813089578162,1.3378536195459503,4.557513643429792,0.007058224858531595,0.034697934665148464,164,1.7757146341463412e-05,164,0.0003533064591463414,3.1730799268346246,19.896578670490616,6.357277001945305e-51,7.628732402334366e-50
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),5,2.10858e-05,403,5.7200665553349874e-05,0.681152571889605,2.712757664084354,0.07121591149111943,0.14302777203237374,164,6.192092682926828e-06,164,6.899638109756098e-05,2.071283276597085,11.142659619388697,7.516618163608133e-51,8.017726041182008e-50
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),5,2.10858e-05,403,5.7200665553349874e-05,0.681152571889605,2.712757664084354,0.07121591149111943,0.14302777203237374,164,6.192092682926828e-06,164,6.899638109756098e-05,2.071283276597085,11.142659619388697,7.516618163608133e-51,8.017726041182008e-50
PWY-6628: superpathway of L-phenylalanine biosynthesis,5,9.738066e-05,403,0.00019776278114143914,1.2024798817171445,2.030821942893375,0.008088952269106841,0.03739763390984859,164,0.00010661755853658513,164,0.00022888359878048777,2.976033838188199,2.1467720882198575,6.922615403616255e-51,8.017726041182008e-50
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),5,2.10858e-05,403,5.7200665553349874e-05,0.681152571889605,2.712757664084354,0.07121591149111943,0.14302777203237374,164,6.192092682926828e-06,164,6.899638109756098e-05,2.071283276597085,11.142659619388697,7.516618163608133e-51,8.017726041182008e-50
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),5,2.10858e-05,403,5.7200665553349874e-05,0.681152571889605,2.712757664084354,0.07121591149111943,0.14302777203237374,164,6.192092682926828e-06,164,6.899638109756098e-05,2.071283276597085,11.142659619388697,7.516618163608133e-51,8.017726041182008e-50
ANAEROFRUCAT-PWY: homolactic fermentation,5,0.000143134,403,0.0002916629714640199,1.5319550727317934,2.037691753629605,0.0009840272485349862,0.02360627686199931,164,0.00019793346951219512,164,0.00027624198170731726,1.7468772893059634,1.3956304731489455,1.0299012484654794e-50,1.0746795636161524e-49
PWY-6859: all-trans-farnesol biosynthesis,5,1.6471044e-05,403,0.00010620412559305209,1.0303247701014744,6.447929201880105,0.0029149572267601555,0.028292418019208062,164,6.123704999999999e-06,164,9.327597756097557e-05,2.7372749741521343,15.231951500109098,1.136828048277297e-50,1.1610158790917074e-49
GLUCONEO-PWY: gluconeogenesis I,5,0.000111681,403,0.0002649170392059555,1.59621702689189,2.3720869190458136,0.0015901259588552246,0.026388263853266865,164,0.00014345128658536588,164,0.00027803204085365856,2.6647070651841003,1.938163452359178,1.3131693060174142e-50,1.309788669264568e-49
GLUCARDEG-PWY: D-glucarate degradation I,5,8.434232e-05,403,0.0001514910291414393,0.650218637539273,1.796144914456222,0.1258475327540345,0.21966114807976936,164,6.752021707317074e-05,164,0.00022668875060975616,3.25788310722551,3.3573462947267583,1.3370759332075797e-50,1.309788669264568e-49
PWY-5136: fatty acid &beta;-oxidation II (peroxisome),5,0.00013399478,403,0.00023860027803970245,0.7157890939774046,1.7806684561868937,0.04980540731895143,0.11334410454145272,164,0.00011077866097560963,164,0.0003050752085365853,2.5383335416166384,2.753916736759928,1.6300728723124627e-50,1.5341862327646708e-49
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,5,0.00014505464000000003,403,0.00026683478426799015,0.8976131133879667,1.8395466995608696,0.02349710648521689,0.06930347489686024,164,0.0001872602499999997,164,0.00032931605365853645,2.337107098481485,1.7586009505943572,1.6300728723124627e-50,1.5341862327646708e-49
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",5,0.000144471,403,0.00022977364915632758,0.647802037042938,1.5904482502116521,0.054671260917436626,0.1220567685598585,164,0.00018944991463414604,164,0.0003031667682926831,2.0000467036326004,1.6002475845826587,1.9869306977561318e-50,1.7661606202276726e-49
PWY-5367: petroselinate biosynthesis,5,1.020494e-05,403,0.00011099928808188583,0.799769906275563,10.87701525750135,0.010059659105542318,0.043112824738038506,164,1.0548878048780492e-06,164,0.00010591885455487807,1.6874073939484933,100.40769650107279,1.9667834636075744e-50,1.7661606202276726e-49
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),5,2.344896e-05,403,0.00016972011669975183,1.1433971454257976,7.237852625436345,0.00881476946796054,0.03948248837127073,164,4.122936585365854e-06,164,0.00019531606530487803,2.3818775037224227,47.373046191916245,1.9667834636075744e-50,1.7661606202276726e-49
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),5,3.289478e-05,403,0.00020127278833746901,1.2188110140590258,6.118684737744682,0.009022509324227065,0.039732151152559556,164,6.813768292682927e-06,164,0.0002349572565853658,2.7102476812469423,34.48271888518404,2.4635476821473497e-50,2.1500052498740507e-49
PWY-7663: gondoate biosynthesis (anaerobic),5,0.00024443479999999997,403,0.00048335290176178665,1.3428647862835266,1.9774307985679074,0.005374539789309394,0.03388965890891028,164,0.0002534236402439031,164,0.0005355875365853659,2.6842264285981123,2.1134079522727207,2.510113449839283e-50,2.151525814147957e-49
PWY-7279: aerobic respiration II (cytochrome c) (yeast),5,7.509494e-05,403,2.06353180248139e-05,1.4693159770919908,0.2747897265090551,0.029998198913448116,0.08059968466844296,164,0.00015022101280487773,164,1.9678658097560977e-05,3.1766032991902953,0.13099803902348608,2.8806537991424614e-50,2.4258137255936517e-49
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,5,9.140696e-05,403,0.00020724560908188586,1.0030862792941169,2.267284778772709,0.01361488796708709,0.051866239874617484,164,9.925358170731706e-05,164,0.00025158405975609765,2.593814756833472,2.5347605137110194,3.003988018767874e-50,2.4860590500147922e-49
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis,5,0.0002155024,403,0.00041336130421836215,1.3009750768365749,1.9181285415770875,0.002827068357674627,0.02827068357674627,164,0.0002816708780487805,164,0.00041948523780487793,1.928546640229753,1.4892744351520442,3.6285865727491653e-50,2.9520704320671176e-49
PWY-5723: Rubisco shunt,5,0.00014575780000000002,403,0.000266278837617866,0.7671524503863524,1.8268582375548066,0.04982417928801359,0.11334410454145272,164,0.0001476858292682927,164,0.00035915559024390253,2.979068070026994,2.431889315470101,4.538393830448485e-50,3.630715064358788e-49
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",5,0.00015312719999999999,403,0.0002848073305707196,0.8764508806180998,1.8599395180655012,0.03514751350245738,0.08926352635544732,164,0.00019327752439024423,164,0.0003786391542682929,2.604996639078185,1.9590438953666818,5.626842504620445e-50,4.427679347898055e-49
PWY-5973: cis-vaccenate biosynthesis,5,0.00013144216000000002,403,0.0003510930543672455,1.44360478362977,2.671084029410696,0.0016433100813326345,0.026388263853266865,164,0.00016289139634146347,164,0.00032760448780487804,2.3352914638726885,2.0111834950332943,1.280339349183751e-49,9.912304638841942e-49
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",5,8.621046000000001e-05,403,0.00019363450528535976,0.9604919454159444,2.246067417867388,0.004801524995552112,0.03388965890891028,164,0.0001093455689024391,164,0.00018877879878048784,2.1931191055811667,1.726442147362378,1.9128259672430495e-49,1.412548406579483e-48
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",5,8.621046000000001e-05,403,0.00019363450528535976,0.9604919454159444,2.246067417867388,0.004801524995552112,0.03388965890891028,164,0.0001093455689024391,164,0.00018877879878048784,2.1931191055811667,1.726442147362378,1.9128259672430495e-49,1.412548406579483e-48
PWY-5103: L-isoleucine biosynthesis III,5,0.0001995092,403,0.0003940955870967739,1.2750100257905188,1.9753253839761469,0.0026224997168566876,0.028151540136384313,164,0.0002599718963414634,164,0.00039928525975609737,1.8548189524113032,1.5358785521633886,1.8790627773905828e-49,1.412548406579483e-48
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),5,8.703921999999999e-05,403,0.00020552030089330026,1.076381247081815,2.361237852238339,0.00794606425972184,0.037393243575161605,164,8.49752975609757e-05,164,0.00022318172134146332,2.6067689463323216,2.626430595095179,2.034978191113682e-49,1.4799841389917686e-48
PWY-6901: superpathway of glucose and xylose degradation,5,0.0001202692,403,0.0002466517419106699,1.2044026845091527,2.0508304861982114,0.006469954897927882,0.034405198941103735,164,0.00015921765243902413,164,0.00028075278231707315,2.5792232010990324,1.763326980496673,2.2855090770064782e-49,1.6373796372583724e-48
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis,5,0.00010759800000000001,403,0.0001563284482630273,0.5396804477573416,1.452893625002577,0.07472296767000208,0.14764112983955055,164,0.00013417487804878072,164,0.0002098536963414633,2.0800019207569704,1.564031206088883,2.3463540723570798e-49,1.6562499334285268e-48
PWY-5083: NAD/NADH phosphorylation and dephosphorylation,5,0.00010682359999999999,403,0.00018669466220843687,0.7015285548702814,1.747691167573803,0.05135973951334126,0.11628620267171606,164,0.00012428082926829292,164,0.00024541937317073176,2.0322391206651034,1.9747162504116333,2.904488191791212e-49,2.0205135247243216e-48
PWY-7316: dTDP-N-acetylviosamine biosynthesis,5,2.390238e-05,403,9.239765205955333e-06,0.308437238954277,0.38656256012812673,0.007903741472521637,0.037393243575161605,164,6.86412073170733e-05,164,1.5845011463414633e-06,2.7887834759529904,0.023083818135980635,4.780317927495769e-49,3.2779322931399553e-48
PWY-1042: glycolysis IV (plant cytosol),5,0.0002284846,403,0.0005315406617866004,1.3852126156666809,2.3263741266877522,0.0011886518033907125,0.024806646331632258,164,0.00030766553048780564,164,0.000555677932926829,1.4881346559917046,1.8061104604269387,5.173643641364049e-49,3.497674574443301e-48
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",5,0.0002007376,403,0.00034714691521588127,0.8325318892350605,1.729356708538317,0.026480524684779027,0.0747685402864349,164,0.00020217698170731682,164,0.00043737452439024415,2.4459071738676297,2.163325026898527,5.405842204456702e-49,3.6038948029711347e-48
UNMAPPED,5,0.20841859999999998,403,0.14188639007444173,0.622281799707429,0.6807760443378937,0.07506034540532956,0.14764112983955055,164,0.2535278475609754,164,0.09877689817073171,2.9635121218181615,0.3896096587455747,7.775169924150817e-49,5.1124404980717706e-48
FERMENTATION-PWY: mixed acid fermentation,5,0.00015284720000000002,403,0.0002898937528287841,0.8643817423276237,1.8966245559538157,0.03564995568258661,0.08959151166304488,164,0.0001908960121951219,164,0.00037238101829268304,2.4286476061107773,1.9507008764125393,7.981015148894938e-49,5.176874691175095e-48
GLUTORN-PWY: L-ornithine biosynthesis,5,0.00014941540000000002,403,0.0002536454276674937,1.0567239648486149,1.6975855746294803,0.010453676409386617,0.04440499713721749,164,0.0002103318231707321,164,0.0002821380134146339,1.5045241740832023,1.341394797807723,2.126815011845569e-48,1.3611616075811642e-47
UNINTEGRATED,5,0.5559936000000001,403,0.7822366774193554,1.862224774254004,1.4069166936802067,0.002008766411929718,0.026388263853266865,164,0.6806170426829288,164,0.8132746219512195,1.1960600553839886,1.1949078129830057,2.627099231497613e-48,1.6592205672616504e-47
PWY-7254: TCA cycle VII (acetate-producers),5,0.0001006912,403,0.0001884670616377172,0.6188026521647623,1.8717331965228063,0.18096661360920419,0.30180017033046996,164,0.00011662342073170739,164,0.0002971124774390245,2.82047124082087,2.5476227294218443,4.1451114595005945e-48,2.5508868969424607e-47
PWY-5690: TCA cycle II (plants and fungi),5,0.000103922,403,0.0001892644694044666,0.6263778877683612,1.8212165797854796,0.14195588132018244,0.24335293940602704,164,0.00011814489024390234,164,0.00028387171463414634,2.3631878459155655,2.402742209570908,4.145191207531499e-48,2.5508868969424607e-47
SO4ASSIM-PWY: sulfate reduction I (assimilatory),5,0.00013295284,403,0.00025001890890818875,0.8419444292013729,1.8805082231277555,0.024121402751370084,0.07042481593296537,164,0.00019000026219512166,164,0.0003064730926829269,1.6233817855268893,1.6130140513605866,4.691572299030407e-48,2.8505755740944245e-47
AST-PWY: L-arginine degradation II (AST pathway),5,6.117199999999999e-05,403,0.00014693743971215878,0.7229710382448763,2.4020375288066242,0.07953373351993527,0.15393625842568115,164,6.93939987804877e-05,164,0.00022569500115853644,1.94571590379237,3.2523705957985185,5.0749633030686393e-48,3.044977981841184e-47
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),5,0.00011610719999999999,403,0.00018933763717121594,0.5316305227611815,1.6307140054296025,0.18701842848272032,0.3063783128727159,164,0.00014228791463414672,164,0.00028934881951219523,2.138367591617194,2.0335445934124077,6.205431738309417e-48,3.6324478468152685e-47
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,5,0.00010419739999999999,403,0.00018027891679900756,0.5752751374850766,1.7301671327596233,0.1784229327889274,0.29945107600938864,164,0.00012170175609756128,164,0.00027801121524390234,2.549189471496636,2.2843648617612122,6.205431738309417e-48,3.6324478468152685e-47
PWY-6803: phosphatidylcholine acyl editing,5,8.40176e-05,403,0.0001653450065483872,0.7259980284613833,1.9679805963082402,0.076909495867347,0.15006730900945756,164,9.967490121951207e-05,164,0.00023070802012195135,2.425609428375128,2.314604953697096,7.272052279450475e-48,4.2055242098026847e-47
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing),5,0.00041702199999999997,403,0.0008957095867990079,1.3175497603178066,2.1478713036698496,0.006006618569947602,0.034405198941103735,164,0.0004016286585365858,164,0.0009856093243902438,2.6390555999094305,2.4540313631539843,7.400382081142932e-48,4.2287897606531043e-47
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,5,1.4068840000000001e-05,403,4.5493950089330045e-05,0.6748127552422881,3.2336674586767664,0.09115525602936601,0.1715863642905713,164,5.980592073170732e-06,164,5.905922163414637e-05,1.7869068880433399,9.875146291800995,7.695044990843036e-48,4.345437171299597e-47
PWY66-422: D-galactose degradation V (Leloir pathway),5,9.392612e-05,403,0.00023794182089330004,1.329394018563167,2.5332870227504345,0.0014219075634219157,0.026388263853266865,164,0.00015165529268292653,164,0.00021389234085365864,1.4317366593217218,1.410384939883729,1.0775950250438627e-47,6.014483860709931e-47
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,5,9.588106e-05,403,0.0002517671983374688,1.5536379954227038,2.6258282745045665,0.0018110171051285444,0.026388263853266865,164,0.00010023103780487811,164,0.00024288418780487797,2.6498380252324507,2.423243269990936,1.3761950928727276e-47,7.592800512401256e-47
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,5,0.00014056631999999998,403,0.0002502861126550865,0.8594050781272485,1.7805553467935031,0.02290803033065402,0.06866731044374132,164,0.00018879118902439,164,0.0002961847329268292,1.9650646834362147,1.5688482839554816,1.6674643916507569e-47,9.095260318095039e-47
PWY-3001: superpathway of L-isoleucine biosynthesis I,5,0.00021422719999999998,403,0.00039112145086848645,1.3295583167174072,1.8257319839333497,0.0020213771301227645,0.026388263853266865,164,0.00029745605487804816,164,0.0003818282256097562,1.3470917047386837,1.2836458338906538,1.9346630070503848e-47,1.0434137566114435e-46
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,5,8.730706000000001e-05,403,0.00013571916119106708,0.5986575708382434,1.554503853308851,0.0737064456265184,0.14699395971274365,164,0.00012332922500000014,164,0.00018621949573170737,1.658207352942368,1.5099381004924595,2.072434977820381e-47,1.0931525157733878e-46
