,Environment,Age,Sex,Noise,1,Group
s63,0.494,0.197,0.577,0.155,1.0,0
s64,0.635,0.731,0.765,0.535,1.0,0
s65,0.704,0.682,0.46,0.42,1.0,0
s66,0.815,0.17,0.477,0.174,1.0,0
s67,0.027,0.766,0.765,0.593,1.0,0
s68,0.416,0.781,0.432,0.319,1.0,0
s69,0.604,0.83,0.506,0.51,1.0,0
s70,0.371,0.287,0.678,0.646,1.0,0
s71,0.815,0.551,0.611,0.526,1.0,0
s72,0.694,0.666,0.894,0.728,1.0,0
s73,0.152,0.444,0.507,0.253,1.0,0
s74,0.51,0.706,0.691,0.58,1.0,0
s75,0.382,0.477,0.683,0.363,1.0,0
s76,0.914,0.553,0.385,0.326,1.0,0
s77,0.498,0.738,0.366,0.384,1.0,0
s78,0.189,0.581,0.586,0.438,1.0,0
s79,0.66,0.093,0.333,0.511,1.0,0
s80,0.941,0.376,0.352,0.267,1.0,0
s81,0.685,0.565,0.46,0.68,1.0,0
s82,0.467,0.623,0.605,0.593,1.0,0
s83,0.78,0.686,0.378,0.193,1.0,0
s84,0.237,0.539,0.405,0.798,1.0,0
s85,0.544,0.522,0.542,0.879,1.0,0
s86,0.761,0.543,0.606,0.736,1.0,0
s87,0.335,0.727,0.331,0.464,1.0,0
s88,0.154,0.494,0.499,0.286,1.0,0
s89,0.56,0.473,0.363,0.711,1.0,0
s90,0.726,0.55,0.605,0.419,1.0,0
s91,0.339,0.25,0.336,0.744,1.0,0
s92,0.348,0.199,0.262,0.542,1.0,0
s93,0.116,0.369,0.348,0.695,1.0,0
s94,0.562,0.512,0.295,0.571,1.0,0
s95,0.179,0.484,0.547,0.641,1.0,0
s96,0.354,0.57,0.277,0.502,1.0,0
s97,0.645,0.724,0.449,0.857,1.0,0
s98,0.592,0.235,0.577,0.525,1.0,0
s99,0.752,0.635,0.496,0.58,1.0,0
s100,0.317,0.404,0.313,0.877,1.0,1
s101,0.62,0.86,0.393,0.23,1.0,1
s102,0.447,0.543,0.53,0.246,1.0,1
s103,0.498,0.328,0.436,0.694,1.0,1
s104,0.498,0.344,0.513,0.265,1.0,1
s105,0.344,0.439,0.515,0.889,1.0,1
s106,0.561,0.294,0.433,0.417,1.0,1
s107,0.239,0.585,0.52,0.351,1.0,1
s108,0.431,0.422,0.739,0.885,1.0,1
s109,0.694,0.566,0.327,0.796,1.0,1
s110,0.715,0.714,0.691,0.874,1.0,1
s111,0.518,0.454,0.655,0.681,1.0,1
s112,0.63,0.535,0.444,0.328,1.0,1
s113,0.594,0.423,0.506,0.882,1.0,1
s114,1.0,0.762,0.448,0.446,1.0,1
s115,0.472,0.387,0.434,0.66,1.0,1
s116,0.595,0.468,0.453,0.689,1.0,1
s117,0.678,0.746,0.317,0.469,1.0,1
s118,0.523,0.423,0.506,0.623,1.0,1
s119,0.509,0.503,0.368,0.684,1.0,1
s120,0.568,0.4,0.887,0.575,1.0,1
s121,0.653,0.511,0.224,0.28,1.0,1
s122,0.528,0.432,0.234,0.56,1.0,1
s123,0.478,0.866,0.661,0.765,1.0,1
s124,0.238,0.562,0.314,0.361,1.0,1
s125,0.554,0.209,0.501,0.47,1.0,1
s126,0.517,0.06,0.831,0.413,1.0,1
s127,0.585,0.576,0.283,0.87,1.0,1
s128,0.415,0.454,0.275,0.634,1.0,1
s129,0.572,0.54,0.645,0.581,1.0,1
s130,0.324,0.565,0.361,0.346,1.0,1
s131,0.214,0.456,0.442,0.608,1.0,1
s132,0.584,0.259,0.512,0.365,1.0,1
s133,0.269,0.288,0.634,0.506,1.0,1
s134,0.732,0.4,0.475,0.373,1.0,1
s135,0.953,0.424,0.609,0.635,1.0,1
s136,0.705,0.495,0.631,0.615,1.0,1
s137,0.443,0.209,0.214,0.458,1.0,1
s138,0.305,0.742,0.57,0.579,1.0,1
s139,0.514,0.693,0.514,0.281,1.0,1
s140,0.601,0.556,0.572,0.202,1.0,1
s141,0.498,0.773,0.505,0.588,1.0,1
s142,0.392,0.177,0.617,0.533,1.0,1
s143,0.46,0.345,0.561,0.627,1.0,1
s144,0.595,0.804,0.257,0.977,1.0,1
s145,0.732,0.622,0.664,0.689,1.0,1
s146,0.314,0.565,0.413,0.317,1.0,1
s147,0.671,0.246,0.418,0.723,1.0,1
s148,0.835,0.189,1.0,0.237,1.0,1
s149,0.36,0.499,0.57,0.408,1.0,1
s150,0.601,0.49,0.64,0.486,1.0,1
s151,0.585,0.381,0.708,0.843,1.0,1
s152,0.0,0.481,0.445,0.351,1.0,1
s153,0.493,0.672,0.485,0.335,1.0,1
s154,0.555,0.522,0.288,0.48,1.0,1
s155,0.296,0.603,0.62,0.367,1.0,1
s156,0.584,0.689,0.609,0.725,1.0,1
s157,0.421,0.486,0.203,0.284,1.0,1
s158,0.557,0.22,0.557,0.271,1.0,1
s159,0.322,0.648,0.512,0.412,1.0,1
s160,0.88,0.456,0.407,0.4,1.0,1
s161,0.145,0.509,0.409,0.886,1.0,1
s162,0.302,0.382,0.453,0.69,1.0,1
s163,0.427,0.324,0.377,0.518,1.0,1
s164,0.631,0.807,0.47,0.255,1.0,1
s165,0.627,0.599,0.595,0.669,1.0,1
s166,0.289,0.254,0.418,0.3,1.0,1
s167,0.197,0.811,0.565,0.191,1.0,1
s168,0.789,0.439,0.603,0.738,1.0,1
s169,0.583,0.338,0.332,0.563,1.0,1
s170,0.231,0.42,0.665,0.684,1.0,1
s171,0.0,0.112,0.463,0.564,1.0,1
s172,0.44,0.648,0.604,0.671,1.0,1
s173,0.28,0.605,0.45,0.37,1.0,1
s174,0.798,0.251,0.419,0.293,1.0,1
s175,0.289,0.45,0.45,0.636,1.0,1
s176,0.433,0.312,0.591,0.339,1.0,1
s177,0.458,0.531,0.0,0.362,1.0,1
s178,0.13,0.53,0.359,0.409,1.0,1
s179,0.557,0.479,0.533,0.503,1.0,1
s180,0.582,0.441,0.541,0.429,1.0,1
s181,0.649,0.403,0.0,0.225,1.0,1
s182,0.307,0.603,0.594,0.371,1.0,1
s183,0.222,0.332,0.405,0.055,1.0,1
s184,0.409,0.412,0.337,0.625,1.0,1
s185,0.963,0.389,0.252,0.18,1.0,1
s186,0.468,0.747,0.263,0.279,1.0,1
s187,0.193,0.393,0.716,0.51,1.0,1
s188,0.413,0.84,0.396,0.352,1.0,1
s189,0.32,0.207,0.674,0.809,1.0,1
s190,0.372,0.298,0.366,0.241,1.0,1
s191,0.731,0.784,0.702,0.553,1.0,1
s192,0.561,0.067,0.275,0.492,1.0,1
s193,0.639,0.672,0.464,0.266,1.0,1
s194,0.485,0.491,0.485,0.605,1.0,1
s195,0.709,0.465,0.566,0.466,1.0,1
s196,0.634,0.198,0.532,0.654,1.0,1
s197,0.646,0.697,0.434,0.665,1.0,1
s198,0.739,0.678,0.404,0.933,1.0,1
s199,0.655,0.661,0.605,0.767,1.0,1
